stock,effort,harvest,ds/dt,benefit,value
0,0,0,0,0,0
1000000,8415.882288,43282.61316,-416224.9972,-1170766.934,-2812822.253
2000000,14533.54284,116525.0643,-839013.9975,-1909014.38,-5021078.541
3000000,20006.29302,207976.929,-1256795.672,-2499425.124,-6929903.982
4000000,25098.24403,313707.7365,-1665818.645,-2993020.448,-8643429.267
5000000,29924.56251,431507.5462,-2064052.072,-3413387.689,-10213408.6
6000000,34549.23758,559913.6294,-2450212.319,-3774266.55,-11670424.53
7000000,39012.69276,697868.0677,-2823420.563,-4084698.21,-13034475.56
8000000,43342.62199,844561.1642,-3183046.204,-4351106.02,-14319539.06
9000000,47559.09681,999348.2336,-3528623.65,-4578301.581,-15535852.06
10000000,51677.28067,1161700.759,-3859803.482,-4770031.893,-16691173.79
11000000,55709.00052,1331175.595,-4176321.648,-4929302.974,-17791539.11
12000000,59663.71762,1507394.468,-4477978.97,-5058583.731,-18841734.52
13000000,63549.15829,1690029.74,-4764626.907,-5159940.92,-19845612.96
14000000,67371.74096,1878794.174,-5036157.315,-5235132.096,-20806309.68
15000000,71136.87497,2073433.367,-5292494.888,-5285671.781,-21726394.76
16000000,74849.17584,2273720.017,-5533591.421,-5312879.857,-22607983.52
17000000,78512.62399,2479449.501,-5759421.383,-5317917.818,-23452818.06
18000000,82130.68423,2690436.382,-5969978.436,-5301816.455,-24262328.54
19000000,85706.39748,2906511.637,-6165272.649,-5265497.395,-25037679.62
20000000,89242.45214,3127520.4,-6345328.254,-5209790.097,-25779806.16
21000000,92741.24046,3353320.121,-6510181.795,-5135445.465,-26489440.62
22000000,96204.90375,3583779.039,-6659880.607,-5043146.869,-27167134.16
23000000,99635.36882,3818774.906,-6794481.538,-4933519.183,-27813272.72
24000000,103034.3779,4058193.914,-6914049.874,-4807136.246,-28428089.05
25000000,106403.5131,4301929.779,-7018658.428,-4664527.103,-29011671.42
26000000,109744.2173,4549882.961,-7108386.754,-4506181.246,-29563969.43
27000000,113057.8107,4801959.99,-7183320.479,-4332553.064,-30084797.32
28000000,116345.506,5058072.883,-7243550.714,-4144065.634,-30573835.06
29000000,119608.4202,5318138.635,-7289173.551,-3941113.982,-31030627.22
30000000,122847.5856,5582078.777,-7320289.615,-3724067.897,-31454579.75
31000000,126063.9583,5849818.979,-7337003.671,-3493274.378,-31844954.75
32000000,129258.4266,6121288.708,-7339424.284,-3249059.766,-32200862.87
33000000,132431.8176,6396420.919,-7327663.503,-2991731.616,-32521253.45
34000000,135584.903,6675151.784,-7301836.594,-2721580.347,-32804901.99
35000000,138718.4045,6957420.44,-7262061.792,-2438880.696,-33050394.62
36000000,141832.9982,7243168.78,-7208460.083,-2143893.019,-33256109.17
37000000,144929.3189,7532341.244,-7141155.004,-1836864.437,-33420192.18
38000000,148007.9636,7824884.65,-7060272.468,-1518029.873,-33540531.17
39000000,151069.4944,8120748.026,-6965940.599,-1187612.972,-33614721.06
40000000,154114.4418,8419882.466,-6858289.586,-845826.9346,-33640023.65
41000000,157143.307,8722240.998,-6737451.551,-492875.2703,-33613318.42
42000000,160156.5641,9027778.457,-6603560.427,-128952.472,-33531042.52
43000000,163154.6625,9336451.378,-6456751.845,245755.3657,-33389117.25
44000000,166138.0283,9648217.895,-6297163.031,631069.9871,-33182857.33
45000000,169107.0664,9963037.641,-6124932.715,1026820.465,-32906857.96
46000000,172062.1619,10280871.67,-5940201.045,1432842.735,-32554853.05
47000000,175003.6811,10601682.36,-5743109.505,1848979.17,-32119535.52
48000000,177931.9735,10925433.38,-5533800.84,2275078.184,-31592326.65
49000000,180847.3722,11252089.57,-5312418.995,2710993.881,-30963076.51
50000000,183750.1955,11581616.9,-5079109.043,3156585.717,-30219669.11
51000000,186640.7475,11913982.43,-4834017.134,3611718.197,-29347493.56
52000000,189519.3193,12249154.24,-4577290.437,4076260.593,-28328722.62
53000000,192386.1895,12587101.36,-4309077.087,4550086.686,-27141308
54000000,195241.6251,12927793.76,-4029526.144,5033074.518,-25757547.11
55000000,198085.8823,13271202.28,-3738787.546,5525106.174,-24141981.36
56000000,200919.207,13617298.6,-3437012.064,6026067.567,-22248212.27
57000000,203741.8352,13966055.2,-3124351.269,6535848.251,-20013888.44
58000000,206553.9939,14317445.3,-2800957.495,7054341.233,-17352434.63
59000000,209355.9017,14671442.88,-2466983.801,7581442.81,-14138594.51
60000000,212147.7685,15028022.59,-2122583.943,8117052.407,-10181236.63
61000000,214929.7969,15387159.76,-1767912.345,8661072.432,-5167019.048
62000000,217702.1821,15748830.37,-1403124.066,9213408.134,1472984.315
63000000,220465.1121,16113010.97,-1028374.777,9773967.479,10948622.98
64000000,223218.7686,16479678.74,-643820.7364,10342661.02,26673013.31
65000000,225963.3268,16848811.41,-249618.7647,10919401.8,68280227.99
66000000,228698.9562,17220387.23,154073.7775,11504105.22,11530076293
67000000,231425.8204,17594384.98,567099.0104,12096688.94,11930547536
68000000,234144.0777,17970783.97,989298.5549,12697072.83,12164236383
69000000,236853.8812,18349563.94,1420513.552,13305178.81,12328881455
70000000,239555.3793,18730705.12,1860584.68,13920930.8,12455619688
71000000,242248.7155,19114188.19,2309352.171,14544254.65,12558352447
72000000,244934.0288,19499994.25,2766655.831,15175078.06,12644501862
73000000,247611.4542,19888104.8,3232335.05,15813330.47,12718502536
74000000,250281.1224,20278501.77,3706228.818,16458943.06,12783218193
75000000,252943.1602,20671167.45,4188175.741,17111848.61,12840606709
76000000,255597.6908,21066084.51,4678014.055,17771981.49,12892066469
77000000,258244.8337,21463235.99,5175581.634,18439277.61,12938631409
78000000,260884.705,21862605.25,5680716.005,19113674.31,12981087761
79000000,263517.4175,22264176.01,6193254.361,19795110.35,13020047452
80000000,266143.081,22667932.32,6713033.567,20483525.86,13055996149
81000000,268761.802,23073858.51,7239890.177,21178862.27,13089325797
82000000,271373.6843,23481939.25,7773660.439,21881062.28,13120357289
83000000,273978.8288,23892159.49,8314180.307,22590069.82,13149356669
84000000,276577.3338,24304504.47,8861285.447,23305830,13176546953
85000000,279169.2949,24718959.69,9414811.251,24028289.05,13202116930
86000000,281754.8053,25135510.95,9974592.841,24757394.35,13226227816
87000000,284333.9559,25554144.28,10540465.08,25493094.31,13249018364
88000000,286906.835,25974845.98,11112262.58,26235338.39,13270608844
89000000,289473.529,26397602.59,11689819.69,26984077.05,13291104176
90000000,292034.1219,26822400.89,12272970.56,27739261.74,13310596430
91000000,294588.6959,27249227.88,12861549.06,28500844.81,13329166827
92000000,297137.3309,27678070.81,13455388.88,29268779.56,13346887378
93000000,299680.1052,28108917.13,14054323.46,30043020.16,13363822214
94000000,302217.0949,28541754.5,14658186.04,30823521.63,13380028691
95000000,304748.3747,28976570.8,15266809.65,31610239.83,13395558304
96000000,307274.0172,29413354.1,15880027.13,32403131.43,13410457454
97000000,309794.0935,29852092.66,16497671.1,33202153.88,13424768094
98000000,312308.6732,30292774.96,17119574.02,34007265.39,13438528273
99000000,314817.824,30735389.63,17745568.14,34818424.92,13451772605
100000000,317321.6124,31179925.5,18375485.54,35635592.14,13464532661
101000000,319820.1033,31626371.57,19009158.13,36458727.43,13476837317
102000000,322313.3602,32074717.01,19646417.63,37287791.83,13488713046
103000000,324801.4452,32524951.18,20287095.61,38122747.07,13500184175
104000000,327284.419,32977063.56,20931023.47,38963555.49,13511273108
105000000,329762.3413,33431043.82,21578032.45,39810180.09,13522000521
106000000,332235.2702,33886881.78,22227953.65,40662584.46,13532385531
107000000,334703.2628,34344567.41,22880617.99,41520732.8,13542445851
108000000,337166.3748,34804090.82,23535856.26,42384589.86,13552197917
109000000,339624.6611,35265442.27,24193499.12,43254120.98,13561657010
110000000,342078.1752,35728612.17,24853377.05,44129292.05,13570837357
111000000,344526.9697,36193591.05,25515320.44,45010069.48,13579752226
112000000,346971.096,36660369.59,26179159.5,45896420.2,13588414010
113000000,349410.6045,37128938.58,26844724.35,46788311.68,13596834296
114000000,351845.5448,37599288.97,27511844.96,47685711.85,13605023938
115000000,354275.9654,38071411.8,28180351.16,48588589.15,13612993113
116000000,356701.9139,38545298.26,28850072.69,49496912.48,13620751376
117000000,359123.4368,39020939.64,29520839.16,50410651.21,13628307707
118000000,361540.5801,39498327.37,30192480.04,51329775.14,13635670559
119000000,363953.3887,39977452.97,30864824.73,52254254.55,13642847894
120000000,366361.9067,40458308.09,31537702.46,53184060.12,13649847221
121000000,368766.1773,40940884.47,32210942.41,54119162.95,13656675629
122000000,371166.243,41425173.98,32884373.62,55059534.57,13663339816
123000000,373562.1457,41911168.58,33557825.01,56005146.89,13669846120
124000000,375953.9262,42398860.35,34231125.44,56955972.22,13676200537
125000000,378341.6249,42888241.44,34904103.64,57911983.27,13682408753
126000000,380725.2812,43379304.12,35576588.24,58873153.1,13688476157
