stock,effort,harvest,ds/dt,benefit,value
0,0,0,0,0,0
1000000,8415.882288,43282.61316,340345.7991,-1170766.934,729570448.1
2000000,14533.54284,116525.0643,648588.5848,-1909014.38,778774077.2
3000000,20006.29302,207976.929,936478.7813,-2499425.124,806589561.5
4000000,25098.24403,313707.7365,1207946.86,-2993020.448,826918691.6
5000000,29924.56251,431507.5462,1465202.76,-3413387.689,843359994.6
6000000,34549.23758,559913.6294,1709709.212,-3774266.55,857393034.2
7000000,39012.69276,697868.0677,1942524.133,-4084698.21,869775121.7
8000000,43342.62199,844561.1642,2164457.22,-4351106.02,880948037.7
9000000,47559.09681,999348.2336,2376153.159,-4578301.581,891193085.5
10000000,51677.28067,1161700.759,2578140.467,-4770031.893,900701025.7
11000000,55709.00052,1331175.595,2770862.288,-4929302.974,909607515.6
12000000,59663.71762,1507394.468,2954696.897,-5058583.731,918012681.3
13000000,63549.15829,1690029.74,3129971.931,-5159940.92,925992666.4
14000000,67371.74096,1878794.174,3296974.628,-5235132.096,933606816.8
15000000,71136.87497,2073433.367,3455959.391,-5285671.781,940902347.4
16000000,74849.17584,2273720.017,3607153.52,-5312879.857,947917482.3
17000000,78512.62399,2479449.501,3750761.641,-5317917.818,954683635.3
18000000,82130.68423,2690436.382,3886969.189,-5301816.455,961226961.5
19000000,85706.39748,2906511.637,4015945.188,-5265497.395,967569488.3
20000000,89242.45214,3127520.4,4137844.503,-5209790.097,973729955
21000000,92741.24046,3353320.121,4252809.684,-5135445.465,979724447.8
22000000,96204.90375,3583779.039,4360972.493,-5043146.869,985566887.3
23000000,99635.36882,3818774.906,4462455.178,-4933519.183,991269407.8
24000000,103034.3779,4058193.914,4557371.546,-4807136.246,996842656.4
25000000,106403.5131,4301929.779,4645827.881,-4664527.103,1002296032
26000000,109744.2173,4549882.961,4727923.724,-4506181.246,1007637875
27000000,113057.8107,4801959.99,4803752.545,-4332553.064,1012875627
28000000,116345.506,5058072.883,4873402.326,-4144065.634,1018015957
29000000,119608.4202,5318138.635,4936956.072,-3941113.982,1023064866
30000000,122847.5856,5582078.777,4994492.254,-3724067.897,1028027776
31000000,126063.9583,5849818.979,5046085.2,-3493274.378,1032909605
32000000,129258.4266,6121288.708,5091805.443,-3249059.766,1037714830
33000000,132431.8176,6396420.919,5131720.028,-2991731.616,1042447534
34000000,135584.903,6675151.784,5165892.785,-2721580.347,1047111460
35000000,138718.4045,6957420.44,5194384.573,-2438880.696,1051710042
36000000,141832.9982,7243168.78,5217253.504,-2143893.019,1056246442
37000000,144929.3189,7532341.244,5234555.135,-1836864.437,1060723581
38000000,148007.9636,7824884.65,5246342.648,-1518029.873,1065144156
39000000,151069.4944,8120748.026,5252667.016,-1187612.972,1069510673
40000000,154114.4418,8419882.466,5253577.144,-845826.9346,1073825457
41000000,157143.307,8722240.998,5249120.005,-492875.2703,1078090673
42000000,160156.5641,9027778.457,5239340.764,-128952.472,1082308340
43000000,163154.6625,9336451.378,5224282.883,245755.3657,1086480346
44000000,166138.0283,9648217.895,5203988.233,631069.9871,1090608456
45000000,169107.0664,9963037.641,5178497.178,1026820.465,1094694325
46000000,172062.1619,10280871.67,5147848.666,1432842.735,1098739508
47000000,175003.6811,10601682.36,5112080.309,1848979.17,1102745466
48000000,177931.9735,10925433.38,5071228.456,2275078.184,1106713575
